awvCreateBus("Data" list(awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<0>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<1>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<2>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<3>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<4>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<5>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<6>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<7>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<8>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<9>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<10>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<11>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<12>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<13>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<14>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<15>" ) nil nil 1.65 nil "centre") ) "Signed Decimal") X,awvCreateBus("Data" list(awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<0>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<1>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<2>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<3>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<4>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<5>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<6>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<7>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<8>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<9>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<10>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<11>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<12>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<13>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<14>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<15>" ) nil nil 1.65 nil "centre") ) "Signed Decimal") LogicBus
1.030050102500015e-05,0011110110010010
1.040050102500015e-05,0011110111001001
1.050050102500015e-05,0011110111111101
1.060050102500015e-05,0011111000101111
1.070050102500015e-05,0011111001011110
1.080050102500015e-05,0011111010001011
1.090050102500015e-05,0011111010110110
1.100050102500015e-05,0011111011011101
1.110050102500015e-05,0011111100000011
1.120050102500015e-05,0011111100100110
1.130050102500015e-05,0011111101000110
1.140050102500015e-05,0011111101100011
1.150050102500015e-05,0011111101111110
1.160050102500015e-05,0011111110010111
1.170050102500015e-05,0011111110101101
1.180050102500015e-05,0011111111000000
1.190050102500015e-05,0011111111010001
1.200050102500015e-05,0011111111011111
1.210050102500015e-05,0011111111101011
1.220050102500015e-05,0011111111110100
1.230050102500015e-05,0011111111111010
1.240050102500015e-05,0011111111111110
1.250050102500015e-05,0011111111111111
1.260050102500015e-05,0011111111111110
1.270050102500015e-05,0011111111111010
1.280050102500015e-05,0011111111110100
1.290050102500015e-05,0011111111101011
1.300050102500015e-05,0011111111011111
1.310050102500015e-05,0011111111010001
1.320050102500015e-05,0011111111000000
1.330050102500015e-05,0011111110101101
1.340050102500015e-05,0011111110010111
1.350050102500015e-05,0011111101111110
1.360050102500015e-05,0011111101100011
1.370050102500015e-05,0011111101000101
1.380050102500015e-05,0011111100100101
1.390050102500015e-05,0011111100000010
1.400050102500015e-05,0011111011011101
1.410050102500015e-05,0011111010110101
1.420050102500015e-05,0011111010001011
1.430050102500015e-05,0011111001011110
1.440050102500015e-05,0011111000101110
1.450050102500015e-05,0011110111111101
1.460050102500015e-05,0011110111001000
1.470050102500015e-05,0011110110010001
1.480050102500015e-05,0011110101011000
1.490050102500015e-05,0011110100011100
1.500050102500015e-05,0011110011011101
1.510050102500015e-05,0011110010011100
1.520050102500015e-05,0011110001011001
1.530050102500015e-05,0011110000010011
1.540050102500015e-05,0011101111001011
1.550050102500015e-05,0011101110000001
1.560050102500015e-05,0011101100110100
1.570050102500015e-05,0011101011100100
1.580050102500015e-05,0011101010010010
1.590050102500015e-05,0011101000111110
1.600050102500015e-05,0011100111101000
1.610050102500015e-05,0011100110001111
1.620050102500015e-05,0011100100110100
1.630050102500015e-05,0011100011010110
1.640050102500015e-05,0011100001110110
1.650050102500015e-05,0011100000010100
1.660050102500015e-05,0011011110110000
1.670050102500015e-05,0011011101001010
1.680050102500015e-05,0011011011100001
1.690050102500015e-05,0011011001110110
1.700050102500015e-05,0011011000001000
1.710050102500015e-05,0011010110011001
1.720050102500015e-05,0011010100100111
1.730050102500015e-05,0011010010110100
1.740050102500015e-05,0011010000111110
1.750050102500015e-05,0011001111000110
1.760050102500015e-05,0011001101001100
1.770050102500015e-05,0011001011010000
1.780050102500015e-05,0011001001010001
1.790050102500015e-05,0011000111010001
1.800050102500015e-05,0011000101001111
1.810050102500015e-05,0011000011001011
1.820050102500015e-05,0011000001000100
1.830050102500015e-05,0010111110111100
1.840050102500015e-05,0010111100110010
1.850050102500015e-05,0010111010100110
1.860050102500015e-05,0010111000011000
1.870050102500015e-05,0010110110001001
1.880050102500015e-05,0010110011110111
1.890050102500015e-05,0010110001100100
1.900050102500015e-05,0010101111001110
1.910050102500015e-05,0010101100110111
1.920050102500015e-05,0010101010011111
1.930050102500015e-05,0010101000000100
1.940050102500015e-05,0010100101101000
1.950050102500015e-05,0010100011001010
1.960050102500015e-05,0010100000101011
1.970050102500015e-05,0010011110001010
1.980050102500015e-05,0010011011100111
1.990050102500015e-05,0010011001000011
2.000050102500015e-05,0010010110011101
2.010050102500015e-05,0010010011110110
2.020050102500015e-05,0010010001001101
2.030050102500015e-05,0010001110100010
2.040050102500015e-05,0010001011110111
2.050050102500015e-05,0010001001001010
2.060050102500015e-05,0010000110011011
2.070050102500015e-05,0010000011101011
2.080050102500015e-05,0010000000111010
2.090050102500015e-05,0001111110000111
2.100050102500015e-05,0001111011010100
2.110050102500015e-05,0001111000011111
2.120050102500015e-05,0001110101101000
2.130050102500015e-05,0001110010110001
2.140050102500015e-05,0001101111111000
2.150050102500015e-05,0001101100111111
2.160050102500015e-05,0001101010000100
2.170050102500015e-05,0001100111001000
2.180050102500015e-05,0001100100001011
2.190050102500015e-05,0001100001001101
2.200050102500015e-05,0001011110001110
2.210050102500015e-05,0001011011001110
2.220050102500015e-05,0001011000001101
2.230050102500015e-05,0001010101001011
2.240050102500015e-05,0001010010001001
2.250050102500015e-05,0001001111000101
2.260050102500015e-05,0001001100000001
2.270050102500015e-05,0001001000111100
2.280050102500015e-05,0001000101110111
2.290050102500015e-05,0001000010110000
2.300050102500015e-05,0000111111101001
2.310050102500015e-05,0000111100100001
2.320050102500015e-05,0000111001011001
2.330050102500015e-05,0000110110010000
2.340050102500015e-05,0000110011000111
2.350050102500015e-05,0000101111111101
2.360050102500015e-05,0000101100110010
2.370050102500015e-05,0000101001100111
2.380050102500015e-05,0000100110011100
2.390050102500015e-05,0000100011010000
2.400050102500015e-05,0000100000000100
2.410050102500015e-05,0000011100111000
2.420050102500015e-05,0000011001101011
2.430050102500015e-05,0000010110011110
2.440050102500015e-05,0000010011010001
2.450050102500015e-05,0000010000000011
2.460050102500015e-05,0000001100110110
2.470050102500015e-05,0000001001101000
2.480050102500015e-05,0000000110011010
2.490050102500015e-05,0000000011001100
2.500050102500015e-05,1111111111111111
2.510050102500015e-05,1111111100110010
2.520050102500015e-05,1111111001100100
2.530050102500015e-05,1111110110010110
2.540050102500015e-05,1111110011001000
2.550050102500015e-05,1111101111111011
2.560050102500015e-05,1111101100101101
2.570050102500015e-05,1111101001100000
2.580050102500015e-05,1111100110010011
2.590050102500015e-05,1111100011000110
2.600050102500015e-05,1111011111111010
2.610050102500015e-05,1111011100101110
2.620050102500015e-05,1111011001100010
2.630050102500015e-05,1111010110010111
2.640050102500015e-05,1111010011001100
2.650050102500015e-05,1111010000000001
2.660050102500015e-05,1111001100110111
2.670050102500015e-05,1111001001101110
2.680050102500015e-05,1111000110100101
2.690050102500015e-05,1111000011011101
